Number;Input;Output;
239;110,00000000000337;1,2605028132384177E-11;
240;190,5255888325772;520,5255888325905;
241;220,0;901,576766497735;
242;190,5255888325736;1041,0511776651508;
243;109,9999999999971;901,5767664977179;
244;-8,628322252999838E-13;520,525588832564;
245;-110,00000000000132;-6,80699940858176E-12;
246;-190,52558883257603;-520,525588832581;
247;-220,0;-901,5767664977295;
248;-190,52558883257635;-1041,0511776651524;
249;-109,99999999999645;-901,5767664977255;
250;1,6174870050548523E-12;-520,525588832564;
251;110,00000000000466;1,3059775483270641E-11;
252;190,52558883257797;520,5255888325935;
253;220,0;901,5767664977385;
254;190,5255888325775;1041,0511776651556;
255;109,99999999999851;901,576766497731;
256;-5,498529822154162E-12;520,5255888325676;
257;-110,00000000000261;-2,0605739337042905E-11;
258;-190,52558883257677;-520,5255888325901;
259;-220,0;-901,5767664977329;
260;-190,52558883257558;-1041,0511776651524;
261;-109,99999999999514;-901,5767664977219;
262;3,1267965645645895E-12;-520,5255888325579;
263;110,00000000000057;1,4807710613240488E-11;
264;190,5255888325787;520,5255888325836;
265;220,0;901,5767664977367;
266;190,52558883257677;1041,0511776651556;
267;109,9999999999972;901,5767664977275;
268;-7,007839381663899E-12;520,5255888325614;
269;-110,00000000000394;-2,7753799258789513E-11;
270;-190,5255888325775;-520,5255888325964;
271;-220,0;-901,5767664977365;
272;-190,52558883257797;-1041,0511776651556;
273;-109,99999999999926;-901,5767664977332;
274;4,636106124074327E-12;-520,5255888325711;
275;110,00000000000186;1,6513013179064728E-11;
276;190,52558883257635;520,5255888325865;
277;220,0;901,5767664977309;
278;190,52558883257603;1041,0511776651524;
279;109,9999999999959;901,5767664977241;
280;-2,2643728664847536E-12;520,5255888325614;
281;-110,00000000000523;-1,6129320101754274E-11;
282;-190,52558883257828;-520,5255888325962;
283;-220,0;-901,5767664977401;
284;-190,5255888325772;-1041,0511776651556;
285;-109,99999999999795;-901,5767664977295;
286;6,145415683584062E-12;-520,525588832565;
287;110,00000000000317;2,3646862246096134E-11;
288;190,5255888325771;520,5255888325928;
289;220,0;901,5767664977345;
290;190,52558883257527;1041,0511776651524;
291;109,99999999999459;901,5767664977203;
292;-3,77368242599449E-12;520,5255888325553;
293;-110,00000000000112;-1,786304437700892E-11;
294;-190,52558883257902;-520,5255888325861;
295;-220,0;-901,5767664977382;
296;-190,52558883257643;-1041,0511776651554;
297;-109,99999999999665;-901,5767664977259;
298;1,401949168404918E-12;-520,525588832565;
299;110,00000000000448;1,2036593943776097E-11;
300;190,52558883257785;520,5255888325926;
Input Max;Input Min;Output Max;Output Min;Inp Amplitude;Out Amplitude;KotF;
220,0;-220,0;1041,0511776651556;-1041,0511776651556;220,0;1041,0511776651556;4,732050807568889;
